No Team,Name Team
1,MARSEILLE
2,PSG
3,AUXERRE
4,CANNES
5,LYON
6,NANTES
7,MONACO
8,BORDEAUX
9,MONTPELLIER
10,LENS
11,STRASBOURG
12,ST ETIENNE
13,SOCHAUX
14,METZ
15,CAEN
16,LE HAVRE
17,LILLE
18,MARTIGUES
19,ANGERS
20,TOULOUSE
21,VALENCIENNES
22,BEAUVAIS
23,CHARLEVILL
24,ROUEN
25,NICE
26,LAVAL
27,RENNES
28,ST BRIEUC
29,LE MANS
30,GUEUGNON
31,NIORT
32,DUNKERQUE
33,ISTRES
34,NANCY
35,VALENCE
36,BASTIA
37,ALES
38,BOURGES
39,MULHOUSE
40,NIMES
41,SEDAN
42,RED STAR
43,TOULON
44,ORLEANS
45,BREST
46,ANCENIS
47,LOUHANS
48,GUINGAMP
49,AMIENS
50,TOURS
51,PERPIGNAN
52,CHATEAUROUX
53,RC PARIS
54,MONTCEAU
55,SETE
56,DIJON
57,LE PUY
58,AJACCIO
59,GRENOBLE
60,CHATELLERA
61,QUIMPER
62,ABBEVILLE
63,REIMS
64,MELUN
65,LORIENT
66,ST DIZIER
67,LA ROCHE
68,CRETEIL
69,LE TOUQUET
70,ANNECY
71,RODEZ
72,CLERMONT
73,CHAUMONT
74,AVIGNON
75,ST SEURIN
76,EPINAL
77,ST QUENTIN
78,POITIERS
79,BRIVE
80,AUBERVILLI
81,THOUARS
82,NOISY
83,ST LEU
84,PARIS FC
85,VALLAURIS
86,FECAMP
87,BESANCON
88,MURET
89,AVRANCHES
90,ANGOULEME
91,ROUBAIX
92,FREJUS
93,HAGUENAU
94,LYON DUCH
95,TROYES
96,PAU
98,EVRY
99,TRELISSAC
100,WASQUEHAL
101,ILE ROUSSE
102,CHERBOURG
103,ST MAUR
104,MT MARSAN
105,ST PRIEST
106,VITROLLES
107,AJACCIO AC
108,RAON
109,PACY /EURE
110,WASKEHAL
111,BEIRA MAR
112,BOAVISTA
113,FC PORTO
114,BENFICA
115,BRAGA
116,GUIMARAES
117,AVES
118,BELENENSES
119,SALGUEIROS
120,PACOS FERREIRA
121,GIL VICENTE
122,CAMPOMAIORENSE
123,ALVERCA
124,MARITIMO FUNCHAL
125,U LEIRIA
126,ESTRELA AMADORA
127,SPORTING PORTUGAL
128,FARENSE
129,CHARLTON
130,MANCHESTER CITY
131,CHELSEA
132,WEST HAM
133,COVENTRY
134,MIDDLESBROUGH
135,LEEDS UNITED
136,EVERTON
137,LEICESTER
138,ASTON VILLA
139,LIVERPOOL
140,BRADFORD CITY
141,SUNDERLAND
142,ARSENAL
143,TOTTENHAM
144,IPSWICH
145,DERBY COUNTY
146,SOUTHAMPTON
147,MANCHESTER UNITED
148,NEWCASTLE
149,BARI
150,VERONA
151,NAPOLI
152,JUVENTUS
153,MILAN AC
154,VICENCE
155,PARMA
156,FIORENTINA
157,PERUGIA
158,LECCE
159,REGGINA
160,INTER MILAN
161,AS ROMA
162,BOLOGNA
163,UDINESE
164,BRESCIA
165,ATALANTA
166,LAZIO ROMA
167,SANTA CLARA
168,VARZIM
169,SETUBAL
170,REAL SOCIEDAD
171,VALENCIA
172,TENERIFE
173,SEVILLA
174,DEPORTIVO
175,MALLORCA
176,MALAGA
177,OSASUNA
178,ESPANOL
179,RAYO VALLECANO
180,ATHLETIC CLUB
181,REAL MADRID
182,DEPORTIVO ALAVES
183,FC BARCELONA
184,VALLADOLID
185,LAS PALMAS
186,BETIS
187,CELTA
189,VILLAREAL
190,CHIEVO VERONE
191,VENEZIA
192,PIACENZA
193,TORINO
194,BLACKBURN
195,BOLTON
196,FULHAM
197,ZARAGOZA
198,BILBAO
199,ALAVES
200,BORUSSIA DORMUND
201,BAYER LEVERKUSEN
202,BAYERN MUNCHEN
203,HERTHA BERLIN
204,SCHALKE 04
205,WERDER BREMEN
206,FC KAISERSLAUTERN
207,VFB STUTTGART
208,MUNICH 1860
209,VFL WOLFSBURG
210,HAMBURGER SV
211,MONCHENGLADBACH
212,ENERGIE COTTBUS
213,HANSA ROSTOCK
214,FC NURNBERG
215,HANNOVER 96
216,STOCCARDA
217,BOCHUM
218,BIRMINGHAM
219,WEST BROMWICH ALBION
220,COMO
221,EMPOLI
222,MODENA
223,SANTANDER
224,HUELVA
225,FC MOREIRENSE
226,COIMBRA
227,NACIONAL MADEIRA
228,ARMINIA BIELEFELD
229,ATLETICO MADRID
230,PORTSMOUTH
231,WOLVERHAMPTON
232,SC FREIBURG
233,FRANCFORT
234,ALBACETE
235,MURCIA
236,ANCONE
237,SAMPDORIA GENOA
238,SIENA
239,RIO AVE
240,KOLN
241,CRYSTAL PALACE
242,NORWICH CITY
243,FSV MAINZ
244,ESTORIL
245,PENAFIEL
246,NUMANCIA
247,GETAFE
248,LEVANTE
249,CAGLIARI
250,MESSINA
251,LIVORNO
252,PALERMO
253,CADIZ
254,DUISBURG MSV
255,WIGAN
256,GENOA
257,FIGUEIRA DA FOZ
258,ASCOLI
259,TREVISE
260,NAVAL
261,ST TROND
262,BEVEREN
263,MOUSCRON
264,WESTERLO
265,LIERSE
266,FC BRUGES
267,GBA
268,LA GANTOISE
269,LA LOUVIERE
270,STANDARD LIEGE
271,CERCLE BRUGES
272,ZULTE WAREGEM
273,FC BRUSSELS
274,SPORTING CHARLEROI
275,ROULERS
276,LOKEREN
277,RACING GENK
278,ANDERLECHT
279,LIBOURNE
280,READING
281,WATFORD
282,SHEFFIELD UNITED
283,ALEMANNIA AACHEN
284,MONS
285,TARRAGONA
286,CATANIA
287,BOULOGNE
288,KARLSRUHE
289,ALMERIA
290,FC DENDER
291,FC MALINES
292,LEIXOES
293,VANNES
294,HOFFENHEIM
295,HULL CITY
296,STOKE CITY
297,KORTRIJK
298,TUBIZE
299,GIJON
300,TROFENSE
301,ARLES
302,BURNLEY
303,SC OLHANENSE
304,XEREZ
305,EVIAN
306,BLACKPOOL
307,AS EUPEN
308,FC ST PAULI
309,ALICANTE
310,PORTIMONENSE
311,CESENA
